fir_number,district,police_station,crime_type,ipc_bns_sections,incident_date,report_date,location_description,latitude,longitude,complainant_name,complainant_age,complainant_gender,complainant_contact,accused_name,accused_age,accused_gender,accused_count,weapon_used,property_loss_inr,case_status,case_outcome,investigating_officer,severity,is_juvenile_involved
0929/2019,Shivamogga,Vinoba Nagar PS,Theft,"379, 303",2019-09-07,2019-09-08,"527, Pradhan Zila",17.303902,75.344809,Dayita Saraf,36,Male,02328648587,Hritik Vohra; Gunbir Gulati,51,Male,2,None,84317.04,Convicted,Acquitted,CPI Zachariah,Low,No
0930/2022,Kalaburagi,Station Bazaar PS,Drug Trafficking,"NDPS Act 20, NDPS Act 22",2022-07-21,2022-07-26,"91/153, Cheema Zila",12.408034,74.406128,Balvan Sura,64,Female,+918806092610,Unknown,,,0,None,0,Pending Court Trial,Compounded,DySP Vyas,High,No
0931/2025,Tumakuru,City PS,Cybercrime - Phishing,"66C IT Act, 319",2025-08-03,2025-08-07,"81/074, Swaminathan Chowk",17.251063,77.110997,Veer Badami,57,Other,03726307172,Vasana Lata; Indali Pai; Radha Nori,30,Other,3,None,127105.83,Charge Sheet Filed,Settled Out of Court,CPI Wadhwa,Medium,No
0932/2025,Mysuru,Vijayanagar PS,Eve Teasing/Harassment,"354, 354A",2025-05-22,2025-05-26,"H.No. 036, Basu Marg",14.78547,75.669164,Pooja Dash,60,Female,09755258146,Unknown,,,0,None,0,Under Investigation,,SI Dube,Low,No
0933/2026,Bengaluru Urban,Rajajinagar PS,Robbery,"392, 309",2026-03-17,2026-03-22,"06, Kala Street",13.786997,76.170217,Chakradhar Sachar,23,Other,3028493307,Unknown,,,0,Acid,252256.02,Pending Court Trial,Settled Out of Court,PSI Roy,High,No
0934/2019,Hubballi-Dharwad,Dharwad Rural PS,Kidnapping,"363, 137",2019-11-05,2019-11-05,"347, Goswami Path",11.753648,74.24168,Rachita Palan,73,Other,09192295750,Turvi Dhillon; Jacob Wable,25,Other,2,None,0,Case Closed,Pending,CPI Chakrabarti,High,No
0935/2018,Belagavi,Camp PS,Burglary,"331(4), 305",2018-09-13,2018-09-18,"75/20, Chowdhury Street",17.955412,76.994492,Indira Bakshi,66,Male,+911629971239,Unknown,,,0,None,156014.83,Acquitted,Acquitted,CPI Walia,Medium,No
0936/2021,Mangaluru,Kankanady PS,Chain Snatching,"356, 304",2021-04-22,2021-04-22,"52/291, Barad Path",14.935074,74.411184,Girindra Sharma,29,Female,02919945975,Xavier Chauhan; Leela Thakkar,23,Female,2,None,114786.54,Acquitted,Pending,ASI Mahajan,Medium,No
0937/2022,Tumakuru,Bharathinagar PS,Fraud/Cheating,"420, 318",2022-07-02,2022-07-05,"H.No. 07, Varughese Nagar",13.091338,76.417557,Mitali Dhillon,69,Male,+915586667477,Nimrat Rao; Harinakshi Goyal,57,Female,2,None,194340.37,Case Closed,Compounded,Inspector Talwar,Medium,No
0938/2021,Bengaluru Urban,Jayanagar PS,Eve Teasing/Harassment,"354, 354A",2021-02-20,2021-02-23,"H.No. 76, Varughese Road",14.172407,74.166811,Aarna Chokshi,36,Male,9341398067,Bhavna Walla; Fiyaz Garde; Frado Virk,23,Female,3,None,0,Convicted,Acquitted,ASI Bhardwaj,Low,No
0939/2020,Hubballi-Dharwad,Hubballi Old City PS,Cybercrime - Online Fraud,"66D IT Act, 318",2020-09-22,2020-09-22,"88/469, Sane Nagar",11.986476,77.381192,Lucky Nagi,58,Other,01861315193,Yatan Gour,35,Other,1,None,229451.63,Charge Sheet Filed,Settled Out of Court,ASI Swamy,Medium,No
0940/2023,Mysuru,Krishnaraja PS,Burglary,"331(4), 305",2023-06-26,2023-07-01,"H.No. 810, Choudhury Ganj",13.647247,77.102107,Nihal Murthy,23,Male,0493769653,Andrew Tella,24,Male,1,None,281360.39,Pending Court Trial,Convicted,DySP Nath,Medium,No
0941/2023,Davanagere,P.G. Halli PS,Robbery,"392, 309",2023-01-14,2023-01-14,"67/095, Dhingra Circle",12.460669,74.6723,Samar Dyal,48,Other,01048118799,Unnati Dash; Harish Rai; Vedant Lall,36,Female,3,Blunt Object,372484.58,Convicted,Pending,SI Din,High,No
0942/2026,Tumakuru,Bharathinagar PS,Vehicle Theft,"379, 303",2026-04-12,2026-04-16,"545, Gala Road",17.89144,74.371779,Ishaan Loke,42,Female,05142293310,Vansha Bhalla,23,Other,1,None,248841.31,Under Investigation,,PSI Mallick,Medium,No
0943/2019,Mangaluru,Mangaladevi PS,Counterfeiting,"489B, 178",2019-05-19,2019-05-21,"H.No. 187, Divan Path",17.035641,76.706219,Rushil Vohra,40,Other,+912910963316,Aditya Sheth; Tejas Nazareth,26,Other,2,None,0,Charge Sheet Filed,Acquitted,SI Bhargava,Low,No
0944/2025,Mangaluru,Mangaladevi PS,Vehicle Theft,"379, 303",2025-06-16,2025-06-20,"25/70, Karnik Circle",15.309403,77.443263,Irya Grewal,65,Female,+911138286423,Leela Bhavsar; Chandran Kata,23,Other,2,None,156972.37,Convicted,Acquitted,CPI Hari,Medium,No
0945/2020,Tumakuru,City PS,Extortion,"384, 308",2020-04-11,2020-04-11,"67/730, Chada Path",17.45093,75.367058,Faraj Dyal,49,Male,05452572821,Kritika Varty,56,Male,1,Acid,44823.5,Case Closed,Pending,CPI Mohanty,High,No
0946/2024,Kalaburagi,Brahmapur PS,Cybercrime - Online Fraud,"66D IT Act, 318",2024-09-26,2024-09-27,"48, Saran Street",12.117264,75.979249,Shravya Natt,75,Male,+910417506731,Unknown,,,0,None,303783.87,Case Withdrawn,,Inspector Mukhopadhyay,Medium,No
0947/2025,Ballari,Bruhat Bangalore PS,Burglary,"331(4), 305",2025-12-20,2025-12-21,"41/282, Sanghvi",16.416776,77.735865,Laban Dhar,20,Other,+913739036451,Ekiya Shroff; Zehaan Sethi,50,Other,2,None,469342.52,Under Investigation,,ASI Tata,Medium,No
0948/2021,Shivamogga,Vinoba Nagar PS,Hit and Run,"304A, 106",2021-07-22,2021-07-25,"26/061, Kant Chowk",15.530895,74.001345,Aachal Panchal,39,Other,01981434047,Abhiram Dayal,48,Other,1,None,0,Under Investigation,,PSI Murthy,Low,No
0949/2020,Tumakuru,City PS,Eve Teasing/Harassment,"354, 354A",2020-01-25,2020-01-28,"25, Palla Path",15.895296,77.760198,Harini Rattan,74,Other,+916270631486,Ishanvi Aurora,41,Male,1,None,0,Pending Court Trial,Acquitted,ASI Das,Low,No
0950/2023,Davanagere,Vidyanagar PS,Hit and Run,"304A, 106",2023-12-16,2023-12-21,"29/64, Dhar Street",14.723922,74.001283,Omya Gour,48,Male,+919180267047,Michael Bath; Nimrat Mangat; Darika Parekh,60,Other,3,None,0,Convicted,Dismissed,SI Singhal,Low,No
0951/2019,Davanagere,P.G. Halli PS,Rioting,"147, 191",2019-06-26,2019-06-26,"943, Kamdar Path",17.125286,74.281771,Divya Parsa,20,Other,0340546560,Unknown,,,0,Firearm,0,Case Closed,Convicted,DySP Bains,Low,No
0952/2021,Bengaluru Urban,Koramangala PS,Arson,"436, 324",2021-09-28,2021-10-02,"412, Dhingra Path",12.661786,78.007078,Divya Prabhakar,47,Male,03551383502,Gaurangi Saha,31,Female,1,None,0,Case Closed,Convicted,SI Saxena,High,No
0953/2019,Davanagere,Vidyanagar PS,Hit and Run,"304A, 106",2019-06-26,2019-07-01,"52/32, D’Alia Circle",13.060458,74.50854,Chakradhar Lanka,74,Female,+910590938550,Lavanya Gara; Jack Grover; Gautam Desai,30,Female,3,None,0,FIR Registered,,ASI Yadav,Low,No
0954/2022,Shivamogga,Town PS,Cybercrime - Phishing,"66C IT Act, 319",2022-07-13,2022-07-14,"900, Karpe Road",13.113267,75.705028,Divya Srinivasan,65,Other,03768405243,Yadavi Majumdar,24,Female,1,None,377538.18,Case Closed,Convicted,CPI Bora,Medium,No
0955/2026,Tumakuru,Bharathinagar PS,Drug Trafficking,"NDPS Act 20, NDPS Act 22",2026-02-22,2026-02-23,"H.No. 66, Sur Ganj",15.821679,77.804,Neelima Taneja,40,Male,04913036723,Unknown,,,0,None,0,Charge Sheet Filed,Settled Out of Court,DySP Contractor,High,No
0956/2018,Bengaluru Urban,Koramangala PS,Murder,"302, 103",2018-04-09,2018-04-14,"53, Sankaran Street",13.866423,75.026763,Avni Walla,61,Female,+918442463085,Udant Rastogi; Warjas Raja,51,Female,2,Vehicle,0,FIR Registered,,DySP Badal,High,No
0957/2025,Hubballi-Dharwad,Vidyanagar PS,Public Nuisance,"268, 270",2025-03-11,2025-03-14,"51/62, Sani Road",16.52387,75.709871,Pallavi Sathe,28,Female,6799153073,Abeer Zachariah; Eesha Dalal; Nikita Sidhu,46,Male,3,None,0,Convicted,Dismissed,SI Soman,Low,No
0958/2024,Kalaburagi,Station Bazaar PS,Drug Trafficking,"NDPS Act 20, NDPS Act 22",2024-02-03,2024-02-05,"13, Wadhwa Road",15.300867,76.2657,Ikshita Choudhury,28,Female,+911430864522,Ansh Pau; Vasudha Jhaveri; Fariq Bhavsar,44,Other,3,None,0,Pending Court Trial,Acquitted,CPI Shroff,High,No
0959/2019,Davanagere,Vidyanagar PS,Counterfeiting,"489B, 178",2019-10-04,2019-10-09,"44/73, Ravel Nagar",17.689015,76.700638,Jhalak Baral,43,Male,03191130945,Baljiwan Badal,54,Female,1,None,0,Under Investigation,,Inspector Narayanan,Low,No
0960/2025,Hubballi-Dharwad,Hubballi Old City PS,Eve Teasing/Harassment,"354, 354A",2025-09-01,2025-09-02,"54/789, Wali Path",12.821493,74.007674,Quincy Venkataraman,49,Female,05760223348,Bachittar Buch; Yashodhara Modi,30,Male,2,None,0,Charge Sheet Filed,Pending,PSI Kata,Low,No
0961/2018,Belagavi,Shahapur PS,Burglary,"331(4), 305",2018-09-22,2018-09-22,"90/568, Prabhu",15.131934,76.408245,Onveer Badal,64,Male,0194648798,Yachana Bumb; Forum Bahri; Ria Palan,55,Female,3,None,67979.4,Charge Sheet Filed,Pending,SI Hayer,Medium,No
0962/2022,Bengaluru Urban,Cubbon Park PS,Hit and Run,"304A, 106",2022-11-10,2022-11-13,"27/183, Sarraf Nagar",16.617037,75.514209,Zehaan Chawla,48,Female,06880992483,Veda Toor,45,Male,1,None,0,Acquitted,Compounded,ASI Lala,Low,No
0963/2025,Tumakuru,Bharathinagar PS,Theft,"379, 303",2025-10-06,2025-10-11,"93/23, Dada Street",14.211725,77.01659,Vincent Dada,34,Male,6680936071,Edhitha Roy,46,Male,1,None,79589.32,Under Investigation,,SI Chanda,Low,No
0964/2025,Hubballi-Dharwad,Hubballi Old City PS,Theft,"379, 303",2025-08-04,2025-08-07,"731, Dada Chowk",15.472633,75.300964,Keya Kapoor,40,Male,3639737294,Unknown,,,0,None,9021.95,Case Closed,Convicted,SI Kara,Low,No
0965/2022,Belagavi,Tilakwadi PS,Rioting,"147, 191",2022-04-10,2022-04-13,"30/402, Das Street",17.497106,74.200811,Mason Raval,29,Other,3918887528,Ladli Dyal; Ekbal Narayanan; Aarnav Murty,30,Other,3,Acid,0,Case Closed,Pending,DySP Acharya,Low,No
0966/2024,Hubballi-Dharwad,Dharwad Rural PS,Cybercrime - Phishing,"66C IT Act, 319",2024-03-15,2024-03-15,"69/930, Dora Ganj",15.460106,77.890615,Ganga Ramachandran,49,Male,7954799003,Pranav Oak; Abeer Kalita; Chaaya Sehgal,28,Male,3,None,483378.35,FIR Registered,,Inspector Gola,Medium,No
0967/2025,Hubballi-Dharwad,Vidyanagar PS,Kidnapping,"363, 137",2025-11-04,2025-11-05,"84/97, Walla Path",15.934474,76.346037,Sachi Kunda,52,Other,4004175151,Mohammed Munshi; Eesha Deo; Ekta Kara,28,Male,3,None,0,Under Investigation,,PSI Singh,High,No
0968/2018,Belagavi,Tilakwadi PS,Theft,"379, 303",2018-07-03,2018-07-08,"H.No. 881, Deol",12.436713,74.712244,Watika Loke,43,Other,+914729282610,Faraj Sant; Yashica Sidhu,30,Male,2,None,71393.33,Pending Court Trial,Compounded,CPI Rao,Low,No
0969/2019,Tumakuru,City PS,Hit and Run,"304A, 106",2019-03-03,2019-03-08,"12/46, Rout Path",12.064918,76.936784,Gopal Dayal,22,Male,01146515803,Dakshesh Kothari,31,Other,1,None,0,Under Investigation,,DySP Balakrishnan,Low,No
0970/2023,Davanagere,P.G. Halli PS,Arson,"436, 324",2023-04-01,2023-04-06,"28/879, Murthy Path",12.958125,78.148314,Om Goyal,58,Other,+914899857447,Unknown,,,0,None,0,Case Withdrawn,,CPI Solanki,High,No
0971/2018,Mangaluru,Kankanady PS,Hit and Run,"304A, 106",2018-08-18,2018-08-19,"80, Mukherjee Circle",14.356099,77.487058,Samarth Bhardwaj,46,Other,3050137555,Girish Kashyap; Riya Bhargava,45,Male,2,None,0,Case Withdrawn,,DySP Nayar,Low,No
0972/2022,Belagavi,Shahapur PS,Domestic Violence,"498A, 85",2022-11-21,2022-11-23,"22, Dani Ganj",16.271527,74.031706,Kiaan Dalal,33,Other,09875394940,Unknown,,,0,Firearm,0,Pending Court Trial,Convicted,DySP Pandit,Medium,No
0973/2018,Shivamogga,Vinoba Nagar PS,Assault,"323, 115",2018-08-02,2018-08-02,"H.No. 127, Chanda Street",12.486775,75.521919,Tejas Rajagopalan,21,Other,+910904489133,Faris Andra; Barkha Kalla,29,Female,2,Acid,0,Acquitted,Dismissed,Inspector Kumar,Medium,No
0974/2024,Hubballi-Dharwad,Vidyanagar PS,Theft,"379, 303",2024-03-12,2024-03-13,"H.No. 23, Comar Zila",11.890262,77.304879,Ekaja Kade,42,Other,+912784239567,Isaac Bail; Wridesh Kade; Kabir Hari,26,Other,3,None,44885.6,Case Withdrawn,,CPI Gokhale,Low,No
0975/2018,Davanagere,P.G. Halli PS,Hit and Run,"304A, 106",2018-10-28,2018-11-02,"53/40, Johal Road",13.318575,76.635271,Anvi Goyal,30,Other,+917000773886,Charita Wali; Mitali Sen,41,Female,2,None,0,Case Closed,Settled Out of Court,Inspector Yadav,Low,No
0976/2021,Hubballi-Dharwad,Hubballi Old City PS,Chain Snatching,"356, 304",2021-08-16,2021-08-19,"64/483, Gola Path",16.97759,74.706877,Akshay Balakrishnan,67,Male,4054154729,Mohammed Ahuja; Bina Sachdev; Zinal Wali,21,Other,3,None,258574.88,Under Investigation,,ASI Chakraborty,Medium,No
0977/2021,Ballari,Cowl Bazar PS,Extortion,"384, 308",2021-12-22,2021-12-22,"59, Garde Road",14.063718,74.017719,Janaki Gupta,43,Female,0462183714,Ayushman Brahmbhatt; Atharv Khosla; Leela Borra,54,Male,3,Rope,34168.68,Charge Sheet Filed,Convicted,ASI Choudhury,High,No
0978/2023,Davanagere,P.G. Halli PS,Vehicle Theft,"379, 303",2023-03-13,2023-03-14,"10/171, Sethi Marg",15.975901,76.458714,Ikshita Sarkar,27,Other,01463512808,Vedika Comar; Anvi Choudhry,21,Male,2,None,419434.47,Under Investigation,,Inspector Rattan,Medium,No
0979/2019,Shivamogga,Town PS,Murder,"302, 103",2019-02-27,2019-03-03,"70/97, Balakrishnan",16.515381,76.092329,Edhitha Master,68,Female,0283327228,Samaksh Char,37,Female,1,Firearm,0,Case Closed,Convicted,DySP Warrior,High,No
0980/2019,Shivamogga,Vinoba Nagar PS,Eve Teasing/Harassment,"354, 354A",2019-06-20,2019-06-20,"20/762, Tak Road",15.044991,77.456595,Shravya Ravel,73,Male,+918122410730,Chatresh Thakkar,50,Female,1,None,0,Case Withdrawn,,SI Suresh,Low,No
0981/2021,Ballari,Cowl Bazar PS,Eve Teasing/Harassment,"354, 354A",2021-10-29,2021-11-03,"45, Barman Zila",16.548874,75.222251,Chameli Banerjee,23,Female,09202329931,Gaurika Rai; Mugdha Balakrishnan,34,Male,2,None,0,Case Closed,Pending,DySP Cherian,Low,No
0982/2023,Mysuru,Nazarbad PS,Eve Teasing/Harassment,"354, 354A",2023-04-18,2023-04-19,"02, Gill Zila",13.197306,75.611663,Ekavir Toor,36,Female,07289215160,Sathvik Thakkar,47,Female,1,None,0,FIR Registered,,PSI Divan,Low,No
0983/2020,Bengaluru Urban,Whitefield PS,Rioting,"147, 191",2020-01-24,2020-01-29,"14, Dube Circle",14.248038,74.632613,Bahadurjit Sarma,65,Female,+912826684251,Bhavani Mukhopadhyay; Leena Gopal,25,Female,2,Vehicle,0,Convicted,Pending,Inspector Goel,Low,No
0984/2024,Mangaluru,Mangaladevi PS,Murder,"302, 103",2024-03-10,2024-03-14,"06, Panchal Street",12.430532,78.083111,Pranav Srinivasan,34,Male,+914167654652,Ira Hayer,21,Male,1,Firearm,0,Pending Court Trial,Settled Out of Court,DySP Ahuja,High,No
0985/2019,Belagavi,Tilakwadi PS,Extortion,"384, 308",2019-02-06,2019-02-09,"983, Chaudhuri Marg",14.245093,77.499655,Dhruv Borde,26,Other,1513625219,Abeer Saraf; Ranveer Dasgupta,54,Male,2,Rope,89051.37,Charge Sheet Filed,Settled Out of Court,Inspector Sem,High,No
0986/2018,Hubballi-Dharwad,Vidyanagar PS,Theft,"379, 303",2018-06-08,2018-06-10,"42/403, Krish Circle",12.101864,77.808373,Kalpit Kade,40,Other,9051054071,Isaiah Hegde; Robert Murthy; Avi Dhaliwal,37,Female,3,None,5393.5,Under Investigation,,Inspector Thaker,Low,No
0987/2024,Belagavi,Tilakwadi PS,Kidnapping,"363, 137",2024-11-21,2024-11-21,"52, Barman Marg",16.841865,74.327866,Chaitanya Reddy,38,Male,2967178638,Hemal Agrawal; Simon Bhandari; Umang Som,26,Male,3,None,0,Under Investigation,,ASI Balay,High,No
0988/2020,Mysuru,Krishnaraja PS,Domestic Violence,"498A, 85",2020-07-06,2020-07-06,"H.No. 75, Sahota Street",16.560545,77.548822,Dakshesh Bassi,36,Male,4796261402,Girik Joshi,40,Male,1,Vehicle,0,Case Closed,Acquitted,CPI Saran,Medium,No
0989/2022,Belagavi,Shahapur PS,Vehicle Theft,"379, 303",2022-09-29,2022-10-02,"H.No. 59, Naidu Chowk",11.652294,76.656884,Imaran Murthy,61,Other,3391255640,Falguni Sagar; Osha Sen,50,Male,2,None,207290.31,Pending Court Trial,Convicted,SI Zachariah,Medium,No
0990/2024,Tumakuru,City PS,Vehicle Theft,"379, 303",2024-11-25,2024-11-30,"95/867, Thaker Path",16.280108,75.45306,Arunima Prashad,56,Female,06006327146,Urvi Halder; Chanakya Goyal; Triya Goda,27,Other,3,None,41433.3,Case Closed,Acquitted,ASI Kurian,Medium,No
0991/2020,Shivamogga,Vinoba Nagar PS,Chain Snatching,"356, 304",2020-08-14,2020-08-16,"H.No. 467, Shukla Marg",14.555101,77.55326,Finn Raju,73,Female,09149891504,Jacob Raju; Chameli Lad; Pranav Sahni,34,Male,3,None,324247.41,Charge Sheet Filed,Convicted,DySP Prashad,Medium,No
0992/2026,Belagavi,Tilakwadi PS,Drug Trafficking,"NDPS Act 20, NDPS Act 22",2026-01-17,2026-01-17,"19/427, Krishna Ganj",16.550277,74.46657,Umang Minhas,73,Female,+917371180664,Advik Lall,25,Male,1,None,0,Acquitted,Convicted,CPI Chad,High,No
0993/2024,Davanagere,P.G. Halli PS,Drug Trafficking,"NDPS Act 20, NDPS Act 22",2024-12-28,2024-12-28,"82, Kanda Ganj",13.233578,76.134794,Jagrati Chaudhari,68,Female,08631596790,Unknown,,,0,None,0,Under Investigation,,PSI Rau,High,No
0994/2020,Kalaburagi,Station Bazaar PS,Chain Snatching,"356, 304",2020-02-25,2020-02-29,"78/59, Loke Nagar",15.622051,77.878101,Pranav Patil,39,Male,8647827740,Orinder Tank; Tarak Bahl; Triya Vohra,24,Male,3,None,433741.59,Case Closed,Compounded,DySP Kibe,Medium,No
0995/2024,Belagavi,Shahapur PS,Extortion,"384, 308",2024-10-18,2024-10-18,"H.No. 639, Manne Chowk",16.086345,75.122686,Barkha Handa,27,Male,07105734539,Kai Chandra; Rishi Ramachandran; Victor Rattan,49,Female,3,Firearm,349987.53,Under Investigation,,PSI Varughese,High,Yes
0996/2020,Mysuru,Vijayanagar PS,Vehicle Theft,"379, 303",2020-01-06,2020-01-10,"864, Dutt Chowk",13.063191,78.330038,Mahika Bava,36,Female,+911407214235,Arin Nagarajan; Vasana Gupta,25,Other,2,None,179546.47,Case Closed,Settled Out of Court,ASI Sani,Medium,No
0997/2020,Hubballi-Dharwad,Dharwad Rural PS,Hit and Run,"304A, 106",2020-07-25,2020-07-25,"531, Agarwal Street",13.878902,76.399755,Radha Babu,34,Other,+913835585573,Kevin Thakur; Rohan Cheema; Nicholas Hans,21,Female,3,None,0,Convicted,Acquitted,PSI Rau,Low,No
0998/2019,Kalaburagi,Brahmapur PS,Cybercrime - Online Fraud,"66D IT Act, 318",2019-05-04,2019-05-05,"318, Narain Nagar",14.449356,78.176607,Kevin Hegde,24,Other,+915870877964,Caleb Padmanabhan; Oliver Din; Oeshi Thakkar,26,Male,3,None,484889.14,Acquitted,Convicted,DySP Ghose,Medium,No
0999/2025,Shivamogga,Vinoba Nagar PS,Domestic Violence,"498A, 85",2025-10-16,2025-10-18,"66/43, D’Alia",12.087713,74.836555,Zashil Ghosh,46,Female,+911237663761,Netra Kala; Ojasvi Taneja; Gabriel Sarkar,24,Other,3,Sharp Weapon,0,Charge Sheet Filed,Compounded,PSI Dass,Medium,No
0001/2021,Mysuru,Nazarbad PS,Eve Teasing/Harassment,"354, 354A",2021-11-01,2021-11-06,"H.No. 018, Mitter Chowk",15.754747,74.765907,Ayush Mahal,54,Male,6685007650,Unknown,,,0,None,0,Charge Sheet Filed,Acquitted,DySP Kata,Low,No
0002/2019,Belagavi,Tilakwadi PS,Extortion,"384, 308",2019-05-21,2019-05-23,"H.No. 049, Bala Street",15.093323,74.093583,Udyati Chahal,64,Other,+914375871289,Unknown,,,0,Vehicle,435122.35,Under Investigation,,Inspector Chaudry,High,No
0003/2025,Belagavi,Shahapur PS,Vehicle Theft,"379, 303",2025-05-06,2025-05-09,"79/57, Bala Ganj",15.393086,76.022672,Tamanna Hora,49,Female,1798557168,Udarsh Sodhi,46,Female,1,None,111321.07,Case Closed,Pending,DySP Nayar,Medium,No
0004/2023,Bengaluru Urban,Whitefield PS,Murder,"302, 103",2023-05-11,2023-05-14,"H.No. 935, Lanka Chowk",17.446598,74.308652,Warda Viswanathan,36,Female,4712111860,Reyansh Contractor; Ekavir Palla; Rudra Bajaj,40,Other,3,Firearm,0,Case Closed,Convicted,ASI Subramanian,High,No
0005/2023,Belagavi,Camp PS,Cybercrime - Phishing,"66C IT Act, 319",2023-06-09,2023-06-13,"H.No. 46, Roy Zila",15.086428,76.557857,Oeshi Parekh,38,Other,1892010652,Charvi Rout; Advika Kapur,32,Other,2,None,54700.39,Under Investigation,,CPI Pillai,Medium,Yes
0006/2018,Shivamogga,Vinoba Nagar PS,Assault,"323, 115",2018-10-03,2018-10-06,"H.No. 473, Padmanabhan Chowk",11.72418,74.329978,Oni Khanna,71,Other,04485105869,Gauri Dugar,37,Female,1,Vehicle,0,Under Investigation,,DySP Wable,Medium,No
0007/2018,Belagavi,Tilakwadi PS,Fraud/Cheating,"420, 318",2018-01-22,2018-01-23,"809, Mukherjee Street",14.520247,75.330482,Dalbir Malhotra,24,Male,+919401704737,Nitara Sur; Lopa Sanghvi,19,Female,2,None,193186.21,Case Withdrawn,,DySP Sarna,Medium,No
0008/2021,Belagavi,Shahapur PS,Extortion,"384, 308",2021-04-28,2021-05-02,"H.No. 05, Som Path",12.390636,78.110604,Eshana Yohannan,60,Female,06478510712,Chakrika Dhaliwal,47,Other,1,Blunt Object,38690.57,Pending Court Trial,Compounded,DySP Sidhu,High,No
0009/2019,Hubballi-Dharwad,Dharwad Rural PS,Drug Trafficking,"NDPS Act 20, NDPS Act 22",2019-02-21,2019-02-26,"H.No. 689, Padmanabhan Marg",17.213885,77.919591,Utkarsh Grover,41,Female,02116093564,Wishi Saraf,41,Other,1,None,0,Pending Court Trial,Convicted,PSI Amble,High,No
0010/2020,Tumakuru,City PS,Domestic Violence,"498A, 85",2020-02-22,2020-02-22,"33/913, Vaidya Zila",13.591966,76.113616,Ekani Doshi,67,Male,07940866182,Udyati Sachdeva,18,Female,1,Sharp Weapon,0,Case Closed,Settled Out of Court,CPI Chhabra,Medium,No
0011/2023,Shivamogga,Town PS,Extortion,"384, 308",2023-11-20,2023-11-24,"92/67, Raghavan Nagar",15.800296,75.363981,Ayush Nagarajan,63,Male,+912610014445,Ira Sengupta; Arya Mallick,39,Other,2,Sharp Weapon,444692.34,Case Closed,Pending,ASI Mishra,High,No
0012/2025,Ballari,Bruhat Bangalore PS,Eve Teasing/Harassment,"354, 354A",2025-08-11,2025-08-16,"95/83, Dube Road",11.723707,75.969194,Kashvi Gour,25,Male,0891309349,Unknown,,,0,None,0,Case Withdrawn,,DySP Sheth,Low,No
0013/2018,Shivamogga,Vinoba Nagar PS,Extortion,"384, 308",2018-01-27,2018-01-28,"H.No. 169, Pandit Road",12.487404,76.18305,Daksha Salvi,58,Other,1735407860,Amrita Mahal,41,Female,1,Knife,8231.1,Pending Court Trial,Acquitted,DySP Parikh,High,No
0014/2026,Mangaluru,Bunder PS,Cybercrime - Online Fraud,"66D IT Act, 318",2026-03-21,2026-03-23,"510, Bava Chowk",13.590196,77.755091,Isaiah Kota,59,Female,+912800049792,Gopal Suri; Arin Parmer; Nathan Dhar,31,Male,3,None,138084.65,Under Investigation,,CPI Sundaram,Medium,No
0015/2025,Tumakuru,Bharathinagar PS,Robbery,"392, 309",2025-05-14,2025-05-14,"01/12, Madan Marg",18.49635,75.803084,Aachal Dada,72,Female,+914228502434,Unknown,,,0,Firearm,53144.08,Under Investigation,,ASI Narula,High,No
0016/2024,Ballari,Cowl Bazar PS,Extortion,"384, 308",2024-04-05,2024-04-09,"99/83, Dua Road",17.53809,75.194474,Anvi Buch,48,Female,+910439345697,Jonathan Badami,56,Female,1,Acid,47768.42,Case Withdrawn,,Inspector Chakraborty,High,No
0017/2021,Shivamogga,Town PS,Fraud/Cheating,"420, 318",2021-06-23,2021-06-26,"50/54, Bhattacharyya Circle",13.498917,74.350865,Gunbir Tailor,21,Female,6870473606,Unknown,,,0,None,63506.11,Under Investigation,,PSI Sood,Medium,No
0018/2018,Davanagere,Vidyanagar PS,Vehicle Theft,"379, 303",2018-07-26,2018-07-28,"01, Mohan Chowk",12.350798,78.484749,Shaurya Saini,34,Other,+917985865352,Unknown,,,0,None,130855.7,Charge Sheet Filed,Settled Out of Court,PSI Om,Medium,No
0019/2021,Shivamogga,Town PS,Murder,"302, 103",2021-01-31,2021-02-02,"311, Ray",14.347361,75.903278,Sara Parmar,36,Male,2047579341,Chaman Gokhale; Atharv Soman,18,Other,2,Sharp Weapon,0,Convicted,Dismissed,Inspector Wali,High,No
0020/2023,Bengaluru Urban,Jayanagar PS,Eve Teasing/Harassment,"354, 354A",2023-02-15,2023-02-15,"H.No. 765, Anand Circle",11.745636,74.614473,Bachittar Mitter,34,Female,+917138139285,Omaja Issac; Om Natt; Krishna Palan,23,Male,3,None,0,Under Investigation,,ASI Lanka,Low,No
0021/2023,Bengaluru Urban,HSR Layout PS,Hit and Run,"304A, 106",2023-12-16,2023-12-18,"30/40, Pal Nagar",14.58167,78.304856,Saumya Sule,29,Other,0191243037,Ekaja Goda; Warda Bhat,45,Other,2,None,0,Under Investigation,,CPI Mital,Low,No
0022/2019,Bengaluru Urban,Rajajinagar PS,Arson,"436, 324",2019-02-24,2019-02-27,"H.No. 45, Rajagopalan Path",16.733641,74.795507,Meera Hans,32,Male,04635836440,Bhavani Viswanathan,44,Other,1,None,0,Under Investigation,,SI Puri,High,No
